codearticle;name;designation;project
EYCHC-0310-1010;CHC AGV cadre de harnais de câblage;;chic-castre
EFRGFBL2;FBL - calculateur de bord;-A10;chic-castre
EFRGODOSOFT;ODOMETRIE LOGICIEL;-A10;chic-castre
ESUNVM1-24;module d'alimentation 24VDC;-A16;chic-castre
EMEASD150B24;Convertisseur DC/DC18-36/24V 6,3A 77%eff;-A17;chic-castre
EYBE4;paneau de commande BE4;-A19;chic-castre
ETECCBM24;platine electrique CAN 24V;-A21;chic-castre
EGOTHG76341ZA;WLAN Radio modem 2,4GHz + NO contact;-A15;chic-castre
ESUNBL1;CLIGNOTANT LED;"-H04v+h;-H05v+h";chic-castre
EZAPACX10024V;amplificateur AC-x 100A/24V CAN-Bus;-N2;chic-castre
EZAPPM4Q7024;HF-MOS-POWER 4Q variateur 30A(70A), 24V;-N3;chic-castre
EZAPAC015024V;amplificateur AC-0 150A/24V CAN-Bus;-N1;chic-castre
ESIE3SB2203-1AC01;Bouton poussoir champ EMERG STOP rouge;-SN2;chic-castre
ESIE3SB2404-0C;Élément de commutation 1NC, 16mm,avec FS;-SN2;chic-castre
ESIE3SB2908-0AA;Support pour 2 éléments de comm. 16mm;-SN2;chic-castre
EPUD1775731000;Porte fusible pour des fusibles lames;-F01 -F03;chic-castre
EPUD1575701550;Fusibles-lames 50A avec carter;-F02 -F03;chic-castre
E60001804A;plaque de liaison type A;-F01 -F03;chic-castre
E60001804B;plaque de liaison type B;-F01 -F03;chic-castre
EATE1632.013.000;Combi de contact. 2 x SW60 / 24VDC ED100;-K01,K02;chic-castre
EATE1632.014.000;Contacteur SW60 / 24DC ED100%;-K03;chic-castre
EATEC19506;Borne a Boulon D8 H13 ZP;-X0L,-X0;chic-castre
EPILPNOZX5/24VDC;Relais d'arrêt d´urgence 24VDC,2S,Cat. 3;-K18,-K19;chic-castre
ESICS30B2011DA;SCANNER A LASER S300 PROFESSIONAL 2M;-B18,-B19;chic-castre
ESICSX0BA0000J;S300 Connecteur systéme pour Prof.;-B18,-B19;chic-castre
EGRE-DM2-ANTENNESW;DM2-2400/500 bi-bande antenne dôme;-ANT1;chic-castre
ETECCS1;Current Sensor 1 (für TS35);-A13;chic-castre
ESUNZM5;module Zapi ZM5 (2x AC-n +PM4Q);-A18;chic-castre
ESICWL4-3P2130;Capteur rétro-réfléchissant WL4-3P2130;-B26,-B27;chic-castre
ESIE3SE2200-1G;Interrupteurs de position 1NC/1NO;-S24,-S25,-S26;chic-castre
EBROLDNM14O00FLE1;RFID-LG (ShortRange) 134,2kHz, RS232;-A25;chic-castre
EBROANT-4D02-LDN;RFID 134,2kHz R-Ant. ShortRange 0,2m St.;-A25a;chic-castre
EBROANTEX420FX3LDN;RFID 134,2kHz Extension d'anten 2m FLEX3;-A25a;chic-castre
EBUS15600-04-20;ATC Porte fusible 4polig 150A/30A;-F03 - F06;chic-castre
ESUNRS422-232;convertisseur double RS422 sur RS232;-A71;chic-castre
EGOTHG84300ZA;Gyroskop;;chic-castre
EESDC131103;CAN-T-Connector DSUB-9p. 2x fem.,1xmale;;chic-castre
EBANDB205;Batterie monobloc DryBull 12V 182Ah/K5;;chic-castre
EBANPOLKLEMME+;borne de pôle pour plus connexion;;chic-castre
EBANPOLKLEMME-;borne de pôle pour moins connexion;;chic-castre
EXXXLANPATCH2M;Câble patch de 2m pour LAN cat.5;;chic-castre
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
